,HGM,MER,CAM
Enero,0.9340836012861736,1.1964664310954065,1.1094017094017095
Febrero,0.7528455284552844,0.8923913043478262,0.8259600614439325
Marzo,0.6241379310344828,0.7745152354570638,0.7312803889789303
Abril,0.6011461318051576,0.7669161676646706,0.7601328903654485
Mayo,0.6240663900414939,0.8896396396396397,0.7171851851851851
Junio,0.4428571428571428,0.7152958152958153,0.5346491228070175
Julio,0.4850961538461539,0.7430622009569378,0.447486033519553
Agosto,0.3786312849162011,0.4774617067833698,0.40899031811894887
Septiembre,0.4109869646182496,0.5738372093023256,0.41798365122615805
Octubre,0.7484076433121019,0.5275862068965518,0.5296636085626911
Noviembre,0.7600570613409416,0.8314671814671815,0.5987179487179488
Diciembre,0.8494363929146538,1.0414953271028038,
